source_id	teff_gspphot	logg_gspphot	mh_gspphot	azero_gspphot	teff_gspspec	logg_gspspec	mh_gspspec
4387987530195911808	4984.204	2.6271	-0.0961	0.5574	4702.0	1.9	-0.34
4518324566282035328	8269.859	3.668	0.0997	1.0974			
5147958422440284544	5779.6416	2.8538	-0.0779	0.4796	5065.0	2.59	-0.44
5342653516251527040	7935.417	4.0825	-0.5212	0.0522	8096.0	4.54	0.13
5840399406468706688	7898.773	4.0231	-0.7722	0.5006	7866.0	4.43	-0.19
5943419999547892352					7444.0	3.91	-1.45
5976108209664908416					8029.0	4.89	
6022069685504147840	6087.304	4.0532	0.1348	0.3968			
6023110888651735808					4329.0	1.26	-0.13
6054426113711871616					4250.0	1.5	-0.3
6092543226865735040							
6401654771939949568	11647.627	3.9184	-1.2088	0.0192			
6561302554622909312					4717.0	2.37	-0.6
6702484039524306688					4250.0	1.5	-0.51
6733324138109241856	15003.11	3.9953	0.0096	0.3408			
6823244084493505152	5634.139	4.13	-0.2762	0.0013			
6834299918724560896	5811.378	3.5742	-0.1002	0.1056	5687.0	3.45	0.01
156361278005864192	5345.041	3.2918	-0.0137	1.2227	5031.0	2.95	-0.29
206125449160342528	7987.914	4.1391	-0.77	0.4174			
655722763140907264							
924242091261045248	3560.4263	0.4915	-0.13	1.3832	4250.0	1.5	0.17
929377738275441152					4717.0	2.61	0.05
1257394183196108160	6299.8296	4.0309	-0.4756	0.1014	6208.0	3.74	-0.52
1610286838177704832	4357.8013	1.869	-0.04	0.6688	4134.0	1.39	0.0
1611067594512895360	6766.2275	3.9519	-0.3623	0.0157			
2016008415544671104	5075.465	2.842	0.0856	0.5163	4668.0	1.98	0.03
2019696796065450368	5978.11	4.0198	-0.3873	0.2248	6194.0	3.93	-0.09
2034581091118259328	3611.2732	4.5886	-0.3456	0.0044	3636.0	4.77	-0.4
2056235182318798080	6477.705	3.5433	0.0438	0.1851			
2061457553312825600	16987.49	2.5024	-0.7237	1.8411			
2215707318011331584	4870.953	2.7117	-0.3203	0.0055	4824.0	2.37	-0.02
2301970636636947840	8100.239	3.8574	-0.4434	0.0107	8000.0	4.4	-0.52
2625897619856103680					4174.0	1.09	-0.37
2702249390915567360	5344.648	2.9509	-0.0765	0.5586	4837.0	2.2	-0.51
2844123052740819968					7864.0	4.63	-5.0
2863353094497258240							
3121478228103170304							
3209940501264413952							
3216667553922099456	4749.161	1.835	-0.7601	1.439	4010.0	1.03	-0.49
3305769158738852352	13400.1455	3.6659	-0.5827	0.7061			
3672865541149747968					4011.0	0.79	-0.91
4037332037923199872					3860.0	1.16	-0.06
4064318756111788160	5862.1816	3.7209	-0.2672	0.6668	5626.0	3.59	0.1
4069082909948005376	7378.273	3.5711	-0.0532	0.5771			
4094289523246106752					7743.0	4.0	-1.33
4191919902314227968	4762.2593	2.8627	0.1792	0.5517	4567.0	2.19	-0.01
4477070198507434496					4987.0	2.45	-0.11
4511416609607124352					3988.0	4.7	-0.48
4567464970728474624	6145.771	3.902	-0.3276	0.0006	6249.0	4.11	-0.36
4795618512571104640	5827.956	3.5019	0.0092	0.4094	5374.0	3.37	-0.35
5217070218672764416	7225.1743	4.166	-0.395	0.1843			
5334906700945688448	16493.283	3.3354	0.3952	1.2494			
5626323599180577792	7447.708	3.8354	-0.7765	0.0885			
5822601062003256576	6209.0376	4.1636	-0.3723	0.0006	6283.0	4.05	-0.19
5943578677154816896	8195.549	4.0542	-0.8082	0.8933			
5974615382142044544	8190.911	3.9118	-0.5535	0.7389			
